4108432	1095366	46
1190874	3699744	58
303670	4514417	6
2787432	2366400	71
1095366	4515406	63
2217217	439740	71
1596879	2795552	440
2823828	1095366	36
3646870	439740	71
2401720	4162373	66
2345987	2574764	71
3443080	1095366	35
384712	1095366	35
2022947	3699744	58
2891531	3699744	58
2634961	1095366	35
829467	3699744	58
12865	3699744	58
4038898	4514417	6
2325673	3699744	58
4158841	1095366	35
764661	3505647	17
2244810	4514417	6
2950959	4514417	6
2947489	4632709	38
2534947	3699744	58
2497057	3409388	71
495577	439740	71
2541581	4065985	80
3577709	3699744	58
4603435	4595851	143
3992376	3699744	58
2927071	3699744	58
4205668	815635	80
4299219	3505647	17
1273900	4354551	74
3963672	2366400	71
2366400	2787432	74
4449518	3699744	58
3515944	1593563	74
543548	4514417	6
4280580	4514417	6
3062888	3699744	58
549816	3970798	72
2114032	1095366	35
2407561	1095366	35
1367423	3699744	58
2700130	1095366	35
4156072	1095366	35
280244	3699744	58
4629596	1095366	35
1731835	3699744	58
3030047	1095366	35
439740	735122	74
614379	439740	71
595517	4514417	6
2644813	3699744	58
4051592	4514417	6
2421710	3892116	72
4301637	1095366	35
1521289	3699744	58
97672	1095366	35
4595851	2787983	73
513352	3699744	58
439740	2911543	74
4502843	4514417	6
2372066	1095366	35
4491792	3699744	58
2702247	1095366	35
2996013	4514417	6
2730744	1095366	17
137731	439740	52
157926	4514417	6
3593667	1095366	35
1645838	2574764	71
3401373	1095366	35
129947	1095366	35
1662631	3699744	58
4441521	1095366	35
4465228	4514417	6
439740	3040754	74
3508797	1095366	35
1904828	439740	75
3584930	3428833	80
3154570	1095366	35
2700099	1095366	46
4504666	3699744	58
2230748	1865312	71
3229526	1095366	35
4421728	3960205	75
3960057	1095366	35
3133954	3699744	58
1616980	1095366	46
148871	1095366	35
2719349	3699744	58
4177076	3699744	58
2223581	3699744	58
4595851	1373382	73
2379988	3409388	71
4644474	1275829	32
3044006	2366400	71
1159369	3699744	58
680665	3676627	72
2634961	3699744	58
3608133	439740	52
4497782	1095366	35
2366400	1404696	74
992828	3699744	58
385457	4514417	6
4221925	3699744	58
2482870	492689	72
2833258	3699744	58
4249031	4514417	6
3359335	4514417	6
518447	439740	71
2574764	2104870	74
2801774	3699744	58
993261	3699744	58
1095366	3743036	63
2285255	3699744	58
4461506	4514417	6
1095366	2621428	24
1942	439740	71
1518041	4595851	143
439740	764661	74
1095366	4611863	63
2832092	439740	71
4081540	4514417	6
3515944	595517	74
305741	3699744	58
2620367	301288	17
3449533	1095366	35
3699744	3505647	572
2366400	694941	74
3503116	3050276	17
431994	2366400	71
627531	1095366	479
2862894	1095366	35
4623224	3699744	58
2574764	1963792	74
3306852	4514417	6
720643	1095366	35
3552900	1095366	35
2974325	1095366	35
2531393	2719871	74
349891	4514417	6
221643	3050276	17
3615687	1095366	46
1812962	1095366	35
2309235	3050276	17
2843033	1095366	35
4590758	990843	74
2594414	2366400	71
2414000	1095366	35
2995954	3699744	58
3545202	2366400	71
2289834	439740	75
4595851	3969550	73
3816875	1095366	35
1994844	4514417	6
2677365	1095366	35
445723	2258534	72
1221560	4514417	6
439740	1477775	74
1924581	3699744	58
773803	1095366	35
1003724	4514417	6
12600	1095366	89
1901109	1561547	210
2630120	1095366	35
439740	4354551	74
4551036	4514417	6
4595851	24903	73
2574764	439740	530
3889574	439740	71
669813	1095366	35
925381	4514417	6
2174725	2366400	71
4595851	1488024	73
2544673	3699744	58
1956033	439740	71
1967967	1095366	35
4128979	1095366	35
3601564	4514417	6
2865921	3788176	170
439740	228907	74
439740	1509113	74
2634430	3699744	58
1583260	3699744	58
4182691	3699744	58
1095366	1923689	428
2574764	2413855	74
439740	1068248	74
3457283	4184000	80
4263649	2366400	71
3591305	1095366	35
2276948	1095366	35
3515944	620800	74
452033	1095366	35
2260276	1275829	32
4316230	439740	71
3700985	1845901	79
872648	3505647	17
4428298	4514417	6
4595851	3070724	98
4595851	1757768	73
3403690	4514417	6
2277696	1095366	35
1636078	439740	75
4026370	1095366	35
2901686	4595851	143
3361261	2366400	71
411386	2574764	71
1189665	3050276	17
3170726	2323199	80
3409388	2585232	74
1798224	3699744	58
572326	439740	71
2574764	2638109	74
1178416	4590758	71
2539768	3050276	17
2265011	1095366	35
1952797	1088670	17
3692311	1095366	35
3402169	4514417	6
3566321	3699744	58
4464442	1095366	35
1241838	1095366	35
439740	3334677	74
3969550	4595851	143
3842142	3699744	58
2661529	1095366	35
2948549	1095366	35
3252987	1095366	35
587643	3699744	58
3165535	4514417	6
2585232	3409388	71
4374185	3515944	71
4595851	3919525	73
763141	4514417	6
2929457	1095366	35
3595716	3050276	17
3152158	1095366	35
501022	4514417	6
1947627	3699744	58
4541624	3699744	58
2289215	3699744	58
2500359	3347592	71
1449978	439740	71
